-prossing
Abandoning
Abashing
Abasing
Abating
Abbreviating
Abdicating
Abducing
Abducting
Abetting
Abhorring
Abiding
Abjuring
Abnegating
Abolishing
Abominating
Abounding
Abrading
Abridging
Abrogating
Absconding
Absenting
Absolving
Absorbing
Abstaining
Abstracting
Abusing
Abutting
Acceding
Accelerating
Accenting
Accentuating
Accepting
Acclimating
Acclimatizing
Accommodating
Accompanying
Accomplishing
According
Accosting
Accounting
Accoutering
Accrediting
Accruing
Accumulating
Accusing
Accustoming
Acetifying
Achieving
Aching
Achromatizing
Acidifying
Acidulating
Acknowledging
Acquainting
Acquiescing
Acquiring
Acquitting
Acting
Actuating
Adapting
Addicting
Adding
Addling
Addressing
Adducing
Adhering
Adjectiving
Adjoining
Adjourning
Adjudging
Adjudicating
Adjuring
Adjusting
Administering
Admiring
Admitting
Admonishing
Adopting
Adorning
Adulterating
Advancing
Advantaging
Adventuring
Adverting
Advertising
Advising
Advocating
Aerating
Affecting
Affiancing
Affiliating
Affirming
Affixing
Afflicting
Affording
Affrighting
Affronting
Affusing
Agglomerating
Agglutinating
Aggrandizing
Aggravating
Aggregating
Aggressing
Aggrieving
Aggrouping
Aging
Agitating
Agonizing
Agreeing
Aiding
Ailing
Aiming
Airing
Alarming
Albumenizing
Alcoholizing
Alienating
Alighting
Alkalifying
Alkalizing
Allaying
Alleging
Allegorizing
Alleviating
Allotting
Allowing
Alloying
Alluding
Alluring
Allying
Altercating
Altering
Alternating
Amalgamating
Amassing
Amazing
Ambling
Ambuscading
Ambushing
Ameliorating
Amending
Amercing
Americanizing
Ammunitioning
Amnestying
Amounting
Amplifying
Amputating
Amusing
Analyzing
Anastomosing
Anathematizing
Anatomizing
Anchoring
Anchylosing
Angering
Anglicizing
Anglifying
Angling
Animadverting
Animalizing
Animating
Annealing
Annexing
Annihilating
Annotating
Announcing
Annoying
Annulling
Annunciating
Anointing
Answering
Antagonozing
Antedating
Anticipating
Aping
Apologizing
Apostatizing
Apostrophize
Appalling
Appareling
Appealing
Appearing
Appeasing
Appending
Appertaining
Applauding
Applotting
Applying
Appointing
Apportioning
Appraising
Appreciating
Apprehending
Apprenticing
Apprising
Approaching
Appropriating
Approving
Approximating
Arbitrating
Archaizing
Arching
Arguing
Arising
Arming
Aromatizing
Arousing
Arraigning
Arranging
Arraying
Arresting
Arriving
Arrogating
Arsenicating
Arterializing
Articling
Articulating
Ascending
Ascertaining
Ascribing
Asking
Asperating
Aspersing
Aspirating
Aspiring
Assailing
Assassinating
Assaulting
Assaying
Assembling
Assenting
Asserting
Assessing
Asseverating
Assigning
Assimilating
Assisting
Assizing
Associating
Assorting
Assuaging
Assuming
Assuring
Astonishing
Astonying
Astounding
Astricting
Astringing
Atoning
Attaching
Attacking
Attaining
Attainting
Attempering
Attempting
Attending
Attenuating
Attesting
Attiring
Attracting
Attributing
Attuning
Auditing
Augmenting
Auguring
Authenticating
Authorizing
Availing
Avenging
Averaging
Averring
Averting
Avoiding
Avouching
Avowing
Awaiting
Awakening
Awaking
Awarding
Awing
Azotizing
Babbling
Babying
Backing
Backsliding
Badgering
Baffling
Bagging
Bailing
Baiting
Baking
Balancing
Baling
Balking
Ballasting
Balling
Balloting
Bamboozling
Bandaging
Banding
Bandying
Banging
Banishing
Banking
Bankrupting
Banning
Banqueting
Bantering
Baptizing
Barbarizing
Barbecuing
Barbering
Barbing
Bargaining
Baring
Barking
Barreling
Barricading
Barring
Bartering
Basiling
Basing
Basking
Basseting
Bastardizing
Bastinadoing
Basting
Bathing
Bating
Battening
Battering
Batting
Battling
Bawling
Baying
Bayoneting
Beaching
Beaconing
Beading
Bealing
Beaming
Bearding
Bearing
Beatifying
Beating
Beautifying
Becking
Beckoning
Beclouding
Becoming
Bedabbling
Bedashing
Bedaubing
Bedazzling
Bedding
Bedecking
Bedeviling
Bedewing
Bedimming
Bedraggling
Bedrenching
Bedyeing
Beetling
Befalling
Befitting
Befogging
Befooling
Befouling
Befriending
Begemming
Begetting
Beggaring
Begging
Beginning
Begirding
Begriming
Begrudging
Beguiling
Behaving
Beheading
Beholding
Behooving
Being
Bejeweling
Belaboring
Belating
Belaying
Belching
Beleaguering
Belecturing
Believing
Belittling
Belling
Bellowing
Bellying
Belonging
Belting
Beluting
Belying
Bemeeting
Bemiring
Bemoaning
Benching
Bending
Benefitting
Benighting
Benumbing
Beplastering
Bepommeling
Bequeathing
Beraining
Berating
Bereaving.
Berhyming
Berrying
Berthing
Beseeching
Beseeming
Besetting
Beshining
Besieging
Beslavering
Besmearing
Besmirching
Besmutting
Besotting
Bespangling
Bespattering
Bespeaking
Bespeckling
Bespitting
Bespotting
Bespreading
Besprinkling
Bestializing
Besticking
Bestirring
Bestowing
Bestrewing
Bestriding
Bestudding
Betaking
Bethinking
Bethumping
Betiding
Betokening
Betraying
Betrimming
Betrothing
Bettering
Betting
Beveling
Bewailing
Beweeping
Bewildering
Bewitching
Bewraying
Bezzling
Biasing
Bickering
Bidding
Biding
Bilging
Bilking
Billeting
Billing
Billowing
Binding
Binning
Birching
Birring
Bisecting
Bishoping
Biting
Bitting
Bituminating
Bituminizing
Bivouacking
Blabbing
Blackballing
Blackening
Blackguarding
Blacking
Blackmailing
Bladdering
Blaming
Blanching
Blandishing
Blanketing
Blanking
Blaring
Blarneying
Blaspheming
Blasting
Blazing
Blazoning
Bleaching
Blearing
Bleating
Bleeding
Blemishing
Blenching
Blending
Blessing
Blighting
Blindfolding
Blinding
Blinking
Blistering
Bloating
Blockading
Blocking
Blooding
Bloodying
Blooming
Blossoming
